,ï»¿id,scrape_id,neighbourhood_group_cleansed,latitude,longitude,bathrooms,bedrooms,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_id,host_listings_count,host_total_listings_count,accommodates,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
5472,27790615.3,20200000000000.0,0.0,37.77984,-122.49099,0.0,1.0,1.0,1.0,1.0,365.0,365.0,1.0,365.0,0.0,5.0,5.0,5.0,5.0,5.0,4.67,4.5,0.67,150749015.0,11.0,13.0,1.0,1.0,365.0,0,0,0,0,6.0,6.0,0.0,7.0,1.0,0.7,0.0
5473,27790615.3,20200000000000.0,0.0,37.78892,-122.40984,0.0,1.6,2.0,2.0,2.0,30.0,30.0,2.0,30.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.69,52178915.0,5.3,7.7,4.0,2.0,30.0,7,14,14,14,6.0,6.0,0.0,3.5,1.1,1.0,0.0
5474,27790615.3,20200000000000.0,0.0,37.7873,-122.41141,0.0,1.6,2.0,2.0,4.0,30.0,30.0,2.0,30.0,0.0,4.94,5.0,4.94,5.0,4.94,5.0,4.94,1.38,52178915.0,5.3,7.7,4.0,2.0,30.0,0,0,0,0,16.0,16.0,1.0,3.5,1.1,1.0,0.0
5475,27790615.3,20200000000000.0,0.0,37.78863,-122.40967,0.0,1.6,2.0,2.0,2.0,30.0,30.0,2.0,30.0,0.0,5.0,4.89,5.0,5.0,5.0,4.67,5.0,0.77,52178915.0,5.3,7.7,4.0,2.0,30.0,5,10,10,10,9.0,9.0,1.0,3.5,1.1,1.0,0.0
5476,27790615.3,20200000000000.0,0.0,37.73643,-122.38969,0.0,1.0,1.0,7.0,7.0,1125.0,1125.0,7.0,1125.0,0.0,4.88,4.94,4.88,5.0,5.0,4.59,4.82,1.55,96117.0,2.0,2.0,1.0,7.0,40.0,3,3,3,3,17.0,17.0,1.0,2.0,1.0,1.0,0.0
5477,27790615.3,20200000000000.0,0.0,37.72277,-122.43882,0.0,1.0,2.0,1.0,1.0,28.0,28.0,1.0,28.0,0.0,4.63,4.77,4.8,4.84,4.84,4.55,4.57,0.8,87507815.4,4.0,4.0,3.0,1.0,28.0,11,28,54,143,56.0,3.6,0.2,4.0,0.0,4.0,0.0
5478,27790615.3,20200000000000.0,0.0,37.73848,-122.41702,0.0,2.0,2.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,0.49,1257432.0,31.0,56.0,2.0,30.0,365.0,30,60,90,365,5.0,5.0,1.0,3.5,1.1,0.0,0.0
5479,27790615.3,20200000000000.0,0.0,37.76366,-122.44298,0.0,3.0,3.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,251124879.0,5.3,7.7,6.0,30.0,90.0,0,10,40,129,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5480,27790615.3,20200000000000.0,0.0,37.76258,-122.38682,0.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.16,62642427.0,2.0,2.0,2.0,30.0,60.0,0,0,0,65,1.0,1.0,0.0,1.0,1.0,0.0,0.0
5481,27790615.3,20200000000000.0,0.0,37.78491,-122.44206,0.0,1.0,1.0,30.0,30.0,1125.0,1125.0,30.0,1125.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5,10208345.0,3.0,3.0,1.0,30.0,1125.0,0,0,0,249,5.0,5.0,0.0,3.0,0.0,3.0,0.0
5482,27790615.3,20200000000000.0,0.0,37.74794,-122.40992,0.0,3.0,1.5,2.0,2.0,30.0,30.0,2.0,30.0,0.0,4.94,4.76,5.0,4.94,5.0,4.94,4.82,1.61,87507815.4,1.0,2.0,6.0,2.0,30.0,0,0,0,0,17.0,17.0,0.0,1.0,1.0,0.0,0.0
5483,27790615.3,20200000000000.0,0.0,37.78207,-122.39515,0.0,2.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,5.0,5.0,5.0,4.9,4.9,5.0,4.5,0.22,293025002.0,5.0,5.0,4.0,1.0,60.0,16,25,42,100,2.0,2.0,0.0,5.0,1.0,4.0,0.0
5484,27790615.3,20200000000000.0,0.0,37.7969,-122.41356,0.0,2.0,3.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,0.0,5.0,4.9,4.95,5.0,4.95,5.0,4.6,2.03,17249115.0,1.0,4.0,6.0,2.0,29.0,14,33,55,129,20.0,20.0,0.0,1.0,1.0,0.0,0.0
5485,27790615.3,20200000000000.0,0.0,37.71069,-122.41253,0.0,3.0,1.5,2.0,2.0,28.0,28.0,2.0,28.0,0.0,4.52,4.71,4.9,4.86,4.88,4.9,4.5,0.8,46564577.0,1.0,1.0,7.0,2.0,28.0,3,7,10,156,42.0,3.6,0.0,1.0,1.0,0.0,0.0
5486,27790615.3,20200000000000.0,0.0,37.77714,-122.4,0.0,2.0,3.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,0.0,4.66,4.55,4.59,4.76,4.83,4.86,4.52,2.57,78910325.0,16.0,24.0,5.0,1.0,28.0,8,21,34,149,29.0,3.6,1.0,3.0,3.0,0.0,0.0
5487,27790615.3,20200000000000.0,0.0,37.79735,-122.43271,0.0,1.0,1.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,5.0,4.5,5.0,4.9,5.0,5.0,4.8,0.2,340517859.0,1.0,2.0,1.0,30.0,365.0,0,0,0,63,2.0,2.0,0.0,1.0,1.0,0.0,0.0
5488,27790615.3,20200000000000.0,0.0,37.796303,-122.410629,0.0,1.0,1.0,30.0,15.3,365.0,365.0,15.1,365.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.14,46519368.0,9.0,9.0,2.0,30.0,365.0,0,14,44,319,1.0,1.0,0.0,8.0,1.0,0.7,0.0
5489,27790615.3,20200000000000.0,0.0,37.77669,-122.4,0.0,1.0,1.0,1.0,1.0,30.0,30.0,1.0,30.0,0.0,4.83,4.71,4.96,4.96,4.83,4.96,4.83,2.19,78910325.0,16.0,24.0,3.0,1.0,30.0,3,13,39,147,24.0,24.0,1.0,3.0,3.0,0.0,0.0
5490,27790615.3,20200000000000.0,0.0,37.76505,-122.39624,0.0,1.0,2.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,4.83,4.92,4.92,4.92,5.0,4.92,4.83,1.1,77128825.0,1.0,1.0,2.0,30.0,365.0,0,0,0,0,12.0,12.0,0.0,1.0,0.0,1.0,0.0
5491,27790615.3,20200000000000.0,0.0,37.78712,-122.38912,0.0,1.0,3.0,30.0,30.0,365.0,365.0,30.0,365.0,0.0,4.8,4.8,4.8,4.9,4.9,4.8,4.7,1.3,12301270.0,1.0,1.0,2.0,30.0,365.0,13,42,72,282,0.0,0.0,0.0,1.0,1.0,0.0,0.0
